Phytochemical,Link
"2,4-Dimethylphenol",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C4-Dimethylphenol
"2,5-Dimethylheptane",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C5-Dimethylheptane
"2,6,10-Trimethyldodecane",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C6%2C10-Trimethyldodecane
"2,6,10-Trimethylpentadecane",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C6%2C10-Trimethylpentadecane
"2,6,6-Trimethylbicyclo[3.1.1]heptan-3-ol",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C6%2C6-Trimethylbicyclo%5B3.1.1%5Dheptan-3-ol
"2,6,8-Trimethyldecane",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C6%2C8-Trimethyldecane
"2,6-Dimethoxy-3-methyl-9H-carbazole",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C6-Dimethoxy-3-methyl-9H-carbazole
"2,6-dimethoxy-9H-carbazole-3-carbaldehyde",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C6-dimethoxy-9H-carbazole-3-carbaldehyde
"2,6-Dimethyloct-7-en-4-one",https://neist.res.in/osadhi/phytodetail.php?phyto=+2%2C6-Dimethyloct-7-en-4-one
2-(3-Methylphenyl)propan-2-ol,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-%283-Methylphenyl%29propan-2-ol
2-(4-Methylphenyl)propan-1-ol,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-%284-Methylphenyl%29propan-1-ol
2-(4-Methylphenyl)propan-2-ol,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-%284-Methylphenyl%29propan-2-ol
2-(6-Methyl-7-oxabicyclo[4.1.0]heptan-3-yl)propan-2-yl acetate,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-%286-Methyl-7-oxabicyclo%5B4.1.0%5Dheptan-3-yl%29propan-2-yl+acetate
2-aminoethyl Acetate,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-aminoethyl+Acetate
2-BETA-HYDROXYOLEANOLIC-ACID,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-BETA-HYDROXYOLEANOLIC-ACID
2-Decen-1-ol,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-Decen-1-ol+
2-Decenal,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-Decenal+
2-DECENOIC-ACID,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-DECENOIC-ACID
2-Eicosanone,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-Eicosanone+
2-Ethyl-4-methylphenol,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-Ethyl-4-methylphenol
2-Ethylphenol,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-Ethylphenol
