Phytochemicals,Link
Alstonia scholaris,https://cb.imsc.res.in/imppat/therapeutics/Alstonia%20scholaris
Alstonia spectabilis,https://cb.imsc.res.in/imppat/therapeutics/Alstonia%20spectabilis
Alstonia venenata,https://cb.imsc.res.in/imppat/therapeutics/Alstonia%20venenata
Alternanthera philoxeroides,https://cb.imsc.res.in/imppat/therapeutics/Alternanthera%20philoxeroides
Alternanthera pungens,https://cb.imsc.res.in/imppat/therapeutics/Alternanthera%20pungens
Alternanthera sessilis,https://cb.imsc.res.in/imppat/therapeutics/Alternanthera%20sessilis
Althaea officinalis,https://cb.imsc.res.in/imppat/therapeutics/Althaea%20officinalis
Altingia excelsa,https://cb.imsc.res.in/imppat/therapeutics/Altingia%20excelsa
Alysicarpus bupleurifolius,https://cb.imsc.res.in/imppat/therapeutics/Alysicarpus%20bupleurifolius
Alysicarpus rugosus,https://cb.imsc.res.in/imppat/therapeutics/Alysicarpus%20rugosus
Alyxia reinwardtii,https://cb.imsc.res.in/imppat/therapeutics/Alyxia%20reinwardtii
Alyxia stellata,https://cb.imsc.res.in/imppat/therapeutics/Alyxia%20stellata
Amaranthus blitum,https://cb.imsc.res.in/imppat/therapeutics/Amaranthus%20blitum
Amaranthus caudatus,https://cb.imsc.res.in/imppat/therapeutics/Amaranthus%20caudatus
Amaranthus dubius,https://cb.imsc.res.in/imppat/therapeutics/Amaranthus%20dubius
Amaranthus graecizans,https://cb.imsc.res.in/imppat/therapeutics/Amaranthus%20graecizans
Amaranthus hybridus,https://cb.imsc.res.in/imppat/therapeutics/Amaranthus%20hybridus
Amaranthus hypochondriacus,https://cb.imsc.res.in/imppat/therapeutics/Amaranthus%20hypochondriacus
Amaranthus retroflexus,https://cb.imsc.res.in/imppat/therapeutics/Amaranthus%20retroflexus
Amaranthus spinosus,https://cb.imsc.res.in/imppat/therapeutics/Amaranthus%20spinosus
Amaranthus tricolor,https://cb.imsc.res.in/imppat/therapeutics/Amaranthus%20tricolor
Amaranthus viridis,https://cb.imsc.res.in/imppat/therapeutics/Amaranthus%20viridis
Amaryllis belladonna,https://cb.imsc.res.in/imppat/therapeutics/Amaryllis%20belladonna
Amberboa moschata,https://cb.imsc.res.in/imppat/therapeutics/Amberboa%20moschata
Amberboa ramosa,https://cb.imsc.res.in/imppat/therapeutics/Amberboa%20ramosa
Ambroma augusta,https://cb.imsc.res.in/imppat/therapeutics/Ambroma%20augusta
Ambrosia artemisiifolia,https://cb.imsc.res.in/imppat/therapeutics/Ambrosia%20artemisiifolia
Amischotolype mollissima,https://cb.imsc.res.in/imppat/therapeutics/Amischotolype%20mollissima
Ammannia baccifera,https://cb.imsc.res.in/imppat/therapeutics/Ammannia%20baccifera
Ammannia multiflora,https://cb.imsc.res.in/imppat/therapeutics/Ammannia%20multiflora
Ammi majus,https://cb.imsc.res.in/imppat/therapeutics/Ammi%20majus
Ammi visnaga,https://cb.imsc.res.in/imppat/therapeutics/Ammi%20visnaga
Amomum aromaticum,https://cb.imsc.res.in/imppat/therapeutics/Amomum%20aromaticum
Amomum subulatum,https://cb.imsc.res.in/imppat/therapeutics/Amomum%20subulatum
Amomum testaceum,https://cb.imsc.res.in/imppat/therapeutics/Amomum%20testaceum
Amomum villosum,https://cb.imsc.res.in/imppat/therapeutics/Amomum%20villosum
Amorpha fruticosa,https://cb.imsc.res.in/imppat/therapeutics/Amorpha%20fruticosa
Amorphophallus paeoniifolius,https://cb.imsc.res.in/imppat/therapeutics/Amorphophallus%20paeoniifolius
Anacardium occidentale,https://cb.imsc.res.in/imppat/therapeutics/Anacardium%20occidentale
Anacyclus pyrethrum,https://cb.imsc.res.in/imppat/therapeutics/Anacyclus%20pyrethrum
Anagallis arvensis,https://cb.imsc.res.in/imppat/therapeutics/Anagallis%20arvensis
Anamirta cocculus,https://cb.imsc.res.in/imppat/therapeutics/Anamirta%20cocculus
Ananas comosus,https://cb.imsc.res.in/imppat/therapeutics/Ananas%20comosus
Anaphalis adnata,https://cb.imsc.res.in/imppat/therapeutics/Anaphalis%20adnata
Anaphalis busua,https://cb.imsc.res.in/imppat/therapeutics/Anaphalis%20busua
Anaphalis contorta,https://cb.imsc.res.in/imppat/therapeutics/Anaphalis%20contorta
Anaphalis margaritacea,https://cb.imsc.res.in/imppat/therapeutics/Anaphalis%20margaritacea
Anaphalis neelgerryana,https://cb.imsc.res.in/imppat/therapeutics/Anaphalis%20neelgerryana
Anaphalis triplinervis,https://cb.imsc.res.in/imppat/therapeutics/Anaphalis%20triplinervis
Anastatica hierochuntica,https://cb.imsc.res.in/imppat/therapeutics/Anastatica%20hierochuntica
Anchusa azurea,https://cb.imsc.res.in/imppat/therapeutics/Anchusa%20azurea
Anchusa strigosa,https://cb.imsc.res.in/imppat/therapeutics/Anchusa%20strigosa
Ancistrocladus heyneanus,https://cb.imsc.res.in/imppat/therapeutics/Ancistrocladus%20heyneanus
Ancistrocladus tectorius,https://cb.imsc.res.in/imppat/therapeutics/Ancistrocladus%20tectorius
Andira inermis,https://cb.imsc.res.in/imppat/therapeutics/Andira%20inermis
Andrachne telephioides,https://cb.imsc.res.in/imppat/therapeutics/Andrachne%20telephioides
Andrographis atropurpurea,https://cb.imsc.res.in/imppat/therapeutics/Andrographis%20atropurpurea
Andrographis echioides,https://cb.imsc.res.in/imppat/therapeutics/Andrographis%20echioides
Andrographis paniculata,https://cb.imsc.res.in/imppat/therapeutics/Andrographis%20paniculata
Andrographis serpyllifolia,https://cb.imsc.res.in/imppat/therapeutics/Andrographis%20serpyllifolia
Andropogon hallii,https://cb.imsc.res.in/imppat/therapeutics/Andropogon%20hallii
Androsace rotundifolia,https://cb.imsc.res.in/imppat/therapeutics/Androsace%20rotundifolia
Androsace umbellata,https://cb.imsc.res.in/imppat/therapeutics/Androsace%20umbellata
Anemarrhena asphodeloides,https://cb.imsc.res.in/imppat/therapeutics/Anemarrhena%20asphodeloides
Anemone coronaria,https://cb.imsc.res.in/imppat/therapeutics/Anemone%20coronaria
Anemone narcissiflora,https://cb.imsc.res.in/imppat/therapeutics/Anemone%20narcissiflora
Anemone obtusiloba,https://cb.imsc.res.in/imppat/therapeutics/Anemone%20obtusiloba
Anemone rivularis,https://cb.imsc.res.in/imppat/therapeutics/Anemone%20rivularis
Anethum graveolens,https://cb.imsc.res.in/imppat/therapeutics/Anethum%20graveolens
Anethum sowa,https://cb.imsc.res.in/imppat/therapeutics/Anethum%20sowa
