,Phytochemical,Kingdom,Family,Group,Common name,Synonymous names,System of medicine,IUCN Red List category
3359,Sarcostemma stocksii,Plantae,Apocynaceae,Angiosperms,,Sarcostemma stocksii,,
3360,Sassafras albidum,Plantae,Lauraceae,Angiosperms,,Sassafras albidum,Unani,Least Concern
3361,Satureja hortensis,Plantae,Lamiaceae,Angiosperms,,Satureja hortensis,Unani,
3362,Satureja montana,Plantae,Lamiaceae,Angiosperms,,Satureja montana,,
3363,Satureja thymbra,Plantae,Lamiaceae,Angiosperms,,Satureja thymbra,,
3364,Saurauia napaulensis,Plantae,Actinidiaceae,Angiosperms,Gogan,"Saurauja nepaulensis, Saurauia napaulensis, Saurauia nepaulensis",,Least Concern
3365,Saurauia roxburghii,Plantae,Actinidiaceae,Angiosperms,Eastern Gogan,"Saurauja roxburghii, Saurauia roxburghii",,Least Concern
3366,Sauromatum venosum,Plantae,Araceae,Angiosperms,Voodoo Lily,"Sauromatum venosum, Sauromatum guttatum",,Least Concern
3367,Sauropus androgynus,Plantae,Phyllanthaceae,Angiosperms,Sweet Leaf Bush,Sauropus androgynus,Siddha,
3368,Sauropus bacciformis,Plantae,Phyllanthaceae,Angiosperms,,"Sauropus bacciformis, Agyneia bacciformis",,
3369,Saussurea albescens,Plantae,Compositae,Angiosperms,,Saussurea albescens,,
3370,Saussurea costus,Plantae,Compositae,Angiosperms,,"Saussurea lappa, Saussurea costus, Saussrea lappa, Saussuera lappa, Saussurea leppa","Ayurveda, Siddha, Sowa Rigpa, Unani",Critically Endangered
3371,Saussurea gossypiphora,Plantae,Compositae,Angiosperms,Kasturi Kamal,Saussurea gossypiphora,Ayurveda,
3372,Saussurea medusa,Plantae,Compositae,Angiosperms,,Saussurea medusa,,
3373,Saussurea simpsoniana,Plantae,Compositae,Angiosperms,Phen Kamal,"Saussurea sacra, Saussurea simpsoniana",,
3374,Saussurea stella,Plantae,Compositae,Angiosperms,,Saussurea stella,,
3375,Saxifraga moorcroftiana,Plantae,Saxifragaceae,Angiosperms,Moorcroft's Saxifrage,"Saxifraga moorkoftiana, Saxifraga moorcroftiana",,
3376,Scabiosa atropurpurea,Plantae,Caprifoliaceae,Angiosperms,,Scabiosa atropurpurea,,
3377,Scadoxus multiflorus,Plantae,Amaryllidaceae,Angiosperms,Blood Lily,"Haemanthus kalbreyeri, Haemanthus multiflorus, Scadoxus multiflorus, Haemanthus multiflorous, Haemanthus multiforus",,
3378,Scaevola frutescens,Plantae,Goodeniaceae,Angiosperms,,Scaevola frutescens,Siddha,
3379,Scaevola plumieri,Plantae,Goodeniaceae,Angiosperms,,"Scaevola lobelia, Scaevola plumieri",,Least Concern
3380,Scaevola taccada,Plantae,Goodeniaceae,Angiosperms,Half Flower,"Scaevola koenigii, Scaevola sericea, Scaevola taccada",,
3381,Scandix pecten-veneris,Plantae,Apiaceae,Angiosperms,Venus's Comb,"Scandix pecten-veneris, Scandix pecten",,
3382,Scaphium scaphigerum,Plantae,Malvaceae,Angiosperms,,"Scaphium wallichii, Sterculia scaphigera, Scaphium scaphigerum",,
3383,Schefflera capitata,Plantae,Araliaceae,Angiosperms,,"Brassaia capitata, Schefflera capitata",,
3384,Schefflera venulosa,Plantae,Araliaceae,Angiosperms,Schefflera Vine,"Heptapleurum venulosum, Schefflera venulosa",Siddha,Least Concern
3385,Schima wallichii,Plantae,Theaceae,Angiosperms,Schima,Schima wallichii,,Least Concern
3386,Schinus molle,Plantae,Anacardiaceae,Angiosperms,,Schinus molle,,Least Concern
3387,Schinus terebinthifolia,Plantae,Anacardiaceae,Angiosperms,Brazilian Pepper,"Schinus terebinthifolius, Schinus terebinthifolia, Schinus terebenthifolius, Schinus terebinthefolius",,
3388,Schisandra grandiflora,Plantae,Schisandraceae,Angiosperms,Large-Flowered Magnolia Vine,Schisandra grandiflora,,
3389,Schisandra propinqua,Plantae,Schisandraceae,Angiosperms,,Schisandra propinqua,,
3390,Schisandra rubriflora,Plantae,Schisandraceae,Angiosperms,,Schisandra rubriflora,,
3391,Schleichera oleosa,Plantae,Sapindaceae,Angiosperms,Kusum Tree,Schleichera oleosa,"Ayurveda, Siddha",Least Concern
3392,Schnabelia terniflora,Plantae,Lamiaceae,Angiosperms,,"Caryopteris terniflora, Schnabelia terniflora",,
3393,Schnabelia tetradonta,Plantae,Lamiaceae,Angiosperms,,Schnabelia tetradonta,,
3394,Schrebera swietenioides,Plantae,Oleaceae,Angiosperms,Weaver's Beam Tree,"Schrebera swietenioides, Schrebera swientenioides","Ayurveda, Siddha, Sowa Rigpa",
3395,Schweinfurthia papilionacea,Plantae,Plantaginaceae,Angiosperms,,Schweinfurthia papilionacea,Ayurveda,
3396,Schweinfurthia sphaerocarpa,Plantae,Plantaginaceae,Angiosperms,,Schweinfurthia sphaerocarpa,Ayurveda,
3397,Scindapsus officinalis,Plantae,Araceae,Angiosperms,,"Scindapsus officinalis, Scindaosus officinalis","Ayurveda, Siddha, Sowa Rigpa, Unani",
3398,Sclerocarya birrea,Plantae,Anacardiaceae,Angiosperms,,"Sclerocarya birrea, Sclerocarya caffra",,
3399,Scleropyrum pentandrum,Plantae,Santalaceae,Angiosperms,Hard Pear Tree,"Sclerospermum pentrandum, Scleropyrum wallichianum, Scleropyrum pentandrum, Sclerospermum pentrandrum",,Lower Risk/least concern
3400,Scoparia dulcis,Plantae,Plantaginaceae,Angiosperms,Sweet Broom Weed,Scoparia dulcis,,
3401,Scorzonera hispanica,Plantae,Compositae,Angiosperms,Black Salsify,Scorzonera hispanica,,
3402,Scrophularia koelzii,Plantae,Scrophulariaceae,Angiosperms,Koelz's Figwort,Scrophularia koelzii,,
